16,29,39,53,72,93,112,131,154,0.0000325,0.00006108,0.00008307,0.00010339,0.00013366,0.00016277,0.00018515,0.00024882,0.00046023,7.4234,17.284,26.001,32.816,34.778,38.877,42.773,44.732,56.258,0
65,84,101,115,129,143,159,178,209,0.0000203,0.00003655,0.00005807,9.65E-05,0.00014357,0.00020701,0.00028376,0.00037932,0.00052966,11.739,17.231,19.804,21.496,25.195,27.233,33.008,36.914,38.869,0
11.2,23,33,42,57,76,98,123,166,0.0000210,0.00003927,0.00006413,8.64E-05,0.00010435,0.00015587,0.00019741,0.00025779,0.00035514,4.1998,18.494,31.273,40.846,44.577,46.661,50.797,56.764,62.572,0
53,71,85,96,109,120,132,145,165,0.0000292,0.00006733,0.00011021,0.00014793,0.00018174,0.00024212,0.00031419,0.00040664,0.00059966,4.0956,32.816,38.676,41.517,46.519,50.396,53.71,58.644,67.974,0
24,41,64,84,101,116,131,148,170,0.0000308,0.00006756,0.00009043,0.00012942,0.00018144,0.00024344,0.00032186,0.00044014,0.00061324,11.719,33.008,36.933,39.186,44.926,50.6,54.512,58.436,66.054,0
76,98,114,127,140,151,163,178,200,0.0000360,0.00006005,0.00009729,0.00013231,0.00016266,0.00020944,0.00028035,0.00046796,0.00076766,10.241,26.181,33.014,35.029,37.092,38.933,40.892,44.727,50.866,0
23,40,65,90,112,129,147,165,190,0.0000252,0.00005502,0.00008448,0.00010951,0.00013668,0.00018062,0.00028166,0.00043533,0.00066577,7.6527,27.441,32.862,36.985,39.063,41.126,46.691,50.823,54.76,0
58,78,93,107.4,120,133,147,162,183,0.0000374,0.00006957,0.00010287,0.00014635,0.00018942,0.00024123,0.00030942,0.00046121,0.00059481,5.5136,29.534,38.872,42.795,46.686,50.421,52.559,54.588,56.641,0
7,20,33,44,57,72,92,123,162,0.0000276,0.00004657,0.00008259,0.00012274,0.00016194,0.00020183,0.00025195,0.00032096,0.00043137,2.7347,27.87,44.899,52.617,56.969,60.572,66.516,70.032,74.468,0
115,122,130,135,141,145,150,158,171,0.0000253,0.00005035,0.00007135,0.00010558,0.00013288,0.00017265,0.00021311,0.00027383,0.00034929,2.9338,31.181,36.931,40.644,42.597,44.729,46.543,50.682,62.523,0
17,23,31,47,85,101,115,131,153,0.0000223,0.00005389,0.00008251,0.00010508,0.00012946,0.00016554,0.00022182,0.00028563,0.00038811,2.7344,29.636,38.875,42.784,44.95,48.444,50.595,52.653,60.496,0
56,76,90,102,114,127,139,155,175,0.0000198,0.00003530,0.00007271,0.00010522,0.00014578,0.00018841,0.00023708,0.0002922,0.00041232,2.5394,13.692,26.962,32.824,40.632,44.765,72.348,86.252,105.65,0
9,22,34,45,58,72,91,114,162,0.0000259,0.00004196,0.00006345,8.68E-05,0.00011647,0.00015228,0.00020932,0.00033066,0.00073149,19.531,29.151,39.795,47.292,56.418,60.593,72.447,74.524,84.031,0
7,31,52,69,90,111,132,160,199,0.0000228,0.00004530,0.00006562,9.90E-05,0.00016558,0.00022805,0.00027166,0.00034821,0.00057913,2.7344,7.8146,25.395,34.636,39.018,46.576,52.714,60.682,69.21,0
13,25,34,45,64,87,108.2,136,177,0.0000338,0.00005254,0.00007733,0.00012088,0.00017124,0.00021746,0.00027743,0.00036259,0.00047464,7.8125,17.8,27.406,33.203,35.131,37.409,46.944,52.587,54.654,0
51,70,86,98,109,121,133,149,172,0.0000213,0.00004114,0.00006487,9.56E-05,0.00014354,0.00019648,0.00028434,0.00035916,0.00049888,4.1994,25.45,37.034,39.115,41.139,44.841,54.59,58.749,64.532,0
20,38,59,80.7,102,123,141,166,207,0.0000226,0.00005674,0.00008503,0.00010237,0.0001405,0.00018043,0.00023256,0.00030357,0.00043843,5.8288,9.3806,17.191,23.396,29.248,31.253,35.237,41.114,46.79,0
56,77,92,105,116,127,140,155,175,0.0000223,0.00004844,0.00008030,0.00011292,0.00014603,0.00020009,0.00025547,0.00034239,0.00056346,2.7412,33.854,37.053,38.722,39.111,41.051,45.152,50.781,56.588,0
13,26,35,46,60,79,104,136,187,0.0000370,0.00007434,0.00009292,0.00012713,0.00017573,0.0002359,0.00031521,0.00042336,0.0006263,6.6614,35.156,37.153,42.617,46.786,49.479,53.031,58.607,68.517,0
48,68,84,97,110,123,139,156,182,0.0000251,0.00005024,0.00007119,0.00011039,0.00013622,0.00018868,0.00026806,0.00035782,0.00045788,2.7344,15.281,28.911,32.841,34.81,36.957,42.797,50.781,58.538,0
10,23,34,47,57,73,94,124,176,0.0000313,0.00006731,0.00010681,0.00014586,0.000198,0.00024935,0.00034489,0.00045947,0.00069117,4.2003,33.184,35.2,37.101,39.134,44.011,68.925,106.02,138.53,0
45,67,83,95,109,123,137,153,177,0.0000255,0.00004899,0.00007734,0.00010543,0.00014606,0.00017392,0.00022154,0.00031379,0.00048609,2.7412,25.447,35.044,36.992,38.953,41.066,50.912,60.953,76.389,0
12,25,37,50,63,81,100,125,163,0.0000503,0.00009233,0.00012646,0.00016642,0.00020519,0.00028518,0.00037713,0.00048287,0.00072679,2.7739,29.314,36.92,39.811,42.851,49.789,52.8,58.877,70.17,0
